aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.2.53-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-sans-pro-fonts 3.028-1
adwaita-icon-theme 3.38.0-1
alacritty 0.7.1-1
alsa-card-profiles 1:0.3.21-1
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
amtk 5.2.0-2
aom 2.0.1-1
apache 2.4.46-3
apr 1.7.0-3
apr-util 1.6.1-8
archlinux-keyring 20210110-1
argon2 20190702-3
aspell 0.60.8-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
atkmm 2.28.1-1
attr 2.4.48-3
audit 3.0-1
autoconf 2.70-1
automake 1.16.3-1
avahi 0.8+15+ge8a3dd0-3
babl 0.1.82-1
baobab 3.38.0-1
base 2-2
bash 5.1.004-1
bc 1.07.1-4
binutils 2.35.1-1
bison 3.7.2-1
blas 3.9.0-3
bluez 5.55-1
bluez-libs 5.55-1
bolt 0.9.1-1
boost-libs 1.75.0-2
brave-bin 1:1.19.88-2
brltty 6.2-4
brotli 1.0.9-4
bspwm 0.9.10-1
btrfs-progs 5.10-1
bubblewrap 0.4.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.61-1
ca-certificates-utils 20181109-4
cairo 1.17.4-3
cairomm 1.12.2-4
cantarell-fonts 1:0.301-1
cdparanoia 10.2-8
cdrtools 3.02a09-4
cheese 3.38.0-1
chromaprint 1.5.0-3
chrome-gnome-shell 10.1-5
cifs-utils 6.11-3
clisp 2.49.93-4
clutter 1.26.4-1
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-2
cmake 3.19.4-1
code 1.52.1-1
cogl 1.22.8-1
colord 1.4.5-1
colord-gtk 0.2.0-2
colord-sane 1.4.5-1
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.4-1
cups 1:2.3.3op2-1
cups-filters 1.28.7-1
cups-pk-helper 0.2.6-4
curl 7.75.0-1
dav1d 0.8.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.38.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
diffutils 3.7-3
djvulibre 3.5.28-1
dleyna-connector-dbus 0.3.0-3
dleyna-core 0.6.0+2+g1c6853f-2
dleyna-renderer 0.6.0-4
dleyna-server 0.6.0+2+geb895ae-2
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-3
dosfstools 4.1-3
dotconf 1.3-6
double-conversion 3.1.5-2
dtc 1.6.0-3
dunst 1.5.0-1
dxvk-bin 1.7.3-1
e2fsprogs 1.46.0-1
edk2-ovmf 202011-1
electron9 9.4.2-3
elfutils 0.182-1
emacs 27.1-3
enchant 2.2.13-2
eog 3.38.1-1
evince 3.38.1-1
evolution-data-server 3.38.3-1
exempi 2.5.2-1
exiv2 0.27.3-1
expat 2.2.10-2
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.25.3-1
faudio 21.02-1
feh 3.6.3-1
ffcall 2.2-2
ffmpeg 2:4.3.1-4
ffmpegthumbnailer 2.2.2-2
fftw 3.3.9-1
file 5.39-1
file-roller 3.38.0-1
filesystem 2021.01.19-1
findutils 4.7.0-2
firefox 85.0-1
flac 1.3.3-2
flex 2.6.4-3
fluidsynth 2.1.7-1
fontconfig 2:2.13.91+48+gfcb0420-2
freerdp 2:2.2.0-2
freetype2 2.10.4-1
frei0r-plugins 1.7.0-1
fribidi 1.0.10-1
fuse-common 3.10.1-1
fuse2 2.9.9-4
fuse3 3.10.1-1
gavl 1.4.0-4
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.2.0-4
gcc-libs 10.2.0-4
gcr 3.38.1-1
gd 2.3.1-1
gdbm 1.19-1
gdk-pixbuf2 2.42.2-1
gdl 3.34.0-2
gdm 3.38.2.1-1
gedit 3.38.1-1
gegl 0.4.26-1
geoclue 2.5.7-2
geocode-glib 3.26.2-1
gettext 0.21-1
gfbgraph 0.2.4-1
ghostscript 9.53.3-2
giblib 1.2.4-8
giflib 5.2.1-2
gimp 2.10.22-1
girara 0.3.5-1
git 2.30.0-1
gjs 2:1.66.2-1
glib-networking 2.66.0-1
glib2 2.66.4-2
glibc 2.32-5
glibmm 2.66.0-1
glslang 11.1.0-1
glu 9.0.1-2
gmime3 3.2.7-1
gmp 6.2.1-1
gnome-autoar 0.2.4-2
gnome-backgrounds 3.38.0-1
gnome-bluetooth 3.34.3-1
gnome-boxes 3.38.1-2
gnome-color-manager 3.36.0-1
gnome-control-center 3.38.3-1
gnome-desktop 1:3.38.3-1
gnome-disk-utility 3.38.1-1
gnome-font-viewer 3.34.0+27+g5ffd1ba-1
gnome-getting-started-docs 3.38.0-1
gnome-keyring 1:3.36.0-3
gnome-logs 3.36.0-1
gnome-menus 3.36.0-1
gnome-online-accounts 3.38.0-1
gnome-online-miners 3.34.0-2
gnome-photos 3.38.0-1
gnome-remote-desktop 0.1.9-1
gnome-screenshot 3.38.0-1
gnome-session 3.38.0+14+g87d92fec-1
gnome-settings-daemon 3.38.1-1
gnome-shell 1:3.38.3-1
gnome-system-monitor 3.38.0-1
